অপেক্ষা	80
ক্ষমা	80
গণতন্ত্র	80
পরীক্ষা	80
প্রতিজ্ঞা	80
বর্ষা	80
বিজ্ঞান	80
সংবিধান	80
সচক্ষে	80
অক্ষমতা	90
অক্ষুণ্ণ	90
অক্ষয়	90
অক্ষরজ্ঞান	90
অক্ষিপট	90
অগ্ন্যুৎপাত	90
অগ্ন্যাশয়	90
অঙ্গীকার	90
অঙ্গুষ্ঠ	90
অঙ্কশাস্ত্র	90
অঙ্কিত	90
অনুজ্ঞা	90
অন্বেষণ	90
অনুষ্ঠান	90
অনুষ্ঠিত	90
অন্তঃকরণ	90
অন্তর্গত	90
অন্তর্মুখী	90
অভ্যন্তরীণ	90
অভ্যর্থনা	90
অভিজ্ঞতা	90
অবজ্ঞা	90
অবিচ্ছিন্ন	90
অবস্থিত	90
আকাঙ্ক্ষা	90
আকস্মিক	90
আত্মসমর্পণ	90
আবিষ্কার	90
আশ্চর্য	90
আশ্রম	90
উচ্ছ্বাস	90
উজ্জ্বল	90
উৎকণ্ঠা	90
উৎপত্তি	90
উদ্ভাবন	90
উন্মুক্ত	90
উপস্থিতি	90
কৃতজ্ঞতা	90
কৃষ্ণচূড়া	90
ক্ষতিকারক	90
ক্ষমতাসীন	90
ক্ষমাশীলতা	90
অভ্যর্থনাকারী	90
অভ্যন্তরস্থ	90
অভ্যুদ্ভূত	90
অধঃপতন	90
অধীনস্থ	90
অধিষ্ঠিত	90
অনিবার্য	90
অনির্বাণ	90
অনুগ্রহপূর্বক	90
অনুধাবনযোগ্য	90
অনুস্বারযুক্ত	90
অন্তরীক্ষযান	90
অন্তর্নিহিত	90
অন্তর্বিষয়ক	90
অন্তঃসারশূন্য	90
অপ্রতিদ্বন্দ্বিতা	90
অপ্রতিরোধ্য	90
অবকেন্দ্রিক	90
অবিচ্ছেদ্যতা	90
অবজ্ঞাসূচক	90
অবনতিশীল	90
অবর্ণনীয়	90
অভিভাবকত্ব	90
অভিশংসন	90
অমূল্যায়ন	90
অমৃত্যুঞ্জয়	90
অশ্বারোহী	90
অষ্টপ্রহর	90
আকাঙ্ক্ষাপূরণ	90
আত্মপ্রকাশ	90
আত্মরক্ষামূলক	90
আত্মসচেতনতা	90
আত্মসম্মানবোধ	90
আধ্যাত্মিকতা	90
আয়ত্তকরণ	90
আলিঙ্গনাবদ্ধ	90
ইচ্ছাশক্তি	90
ইন্দ্রিয়সংবেদন	90
উচ্ছৃঙ্খলতা	90
উদ্ভিদবিজ্ঞান	90
উদ্বায়ীতা	90
উদ্বৃত্তাংশ	90
উপযোগিতাবাদ	90
উপস্থাপনাপর্ব	90
ঊর্ধ্বাধর	90
ঋজুতাপূর্ণ	90
একীভূতকরণ	90
ঐক্যসংহতি	90
ঔপনিবেশিক	90
কক্ষপথচ্যুত	90
কণ্ঠস্বরনিয়ন্ত্রণ	90
কর্তৃত্ববাদ	90
কল্পনাশক্তি	90
কৃষ্ণপক্ষীয়	90
কেন্দ্রস্থাপন	90
ক্ষতচিহ্ন	90
ক্ষতিগ্রস্ততা	90
ক্ষুদ্রায়ন	90
ক্ষমতাচ্যুতি	90
খ্যাতিমান	90
খ্রিস্টধর্মাবলম্বী	90
গণতান্ত্রিকতা	90
গণ্যমান্যব্যক্তি	90
গভীরতানির্ণয়	90
গর্ভজাতশিশু	90
গ্রন্থপঞ্জিভুক্ত	90
গ্রাহকসংশ্লিষ্ট	90
ঘনত্বনির্ভর	90
ঘূর্ণিঝড়প্রবণ	90
চক্রবৃদ্ধিহারে	90
চিকিৎসাপদ্ধতি	90
চিত্রবিচিত্রতা	90
চূড়ান্তসিদ্ধান্ত	90
ছদ্মপরিচয়	90
জন্মহারনিয়ন্ত্রণ	90
জ্ঞানান্বেষণ	90
জ্যামিতিশাস্ত্র	90
ঝুঁকিপূর্ণতা	90
তত্ত্বাবধায়ক	90
তন্ত্রসাধক	90
তথ্যপ্রমাণভিত্তিক	90
ত্রাণসামগ্রী	90
ত্রিকোণাকৃতি	90
ত্রুটিসংশোধন	90
দক্ষতাবৃদ্ধি	90
দন্তচিকিৎসক	90
দায়বদ্ধতা	90
দায়িত্বশীলতা	90
দুর্দশাগ্রস্ত	90
দুর্ভাবনাগ্রস্ত	90
দুর্যোগব্যবস্থাপনা	90
দৃষ্টিনন্দনতা	90
দ্ব্যর্থবোধকতা	90
দ্বিপক্ষীয়তা	90
দ্রুততমগতি	90
ধ্বনিপ্রতিধ্বনি	90
ধর্মপ্রাণব্যক্তি	90
ধার্যযোগ্যতা	90
নক্ষত্রখচিত	90
নিয়ন্ত্রণব্যবস্থা	90
নিরীক্ষণযোগ্য	90
নির্দয়নিষ্ঠুর	90
নির্বিঘ্নে	90
নির্ভরযোগ্যতা	90
নিষ্প্রয়োজনীয়	90
নৃত্যনৈপুণ্য	90
ন্যায্যতানির্ভর	90
পক্ষসমর্থনকারী	90
পদ্ধতিনির্ভর	90
পরিণতবয়স্ক	90
পরিচ্ছন্নতাকর্মী	90
পরিপূরকব্যবস্থা	90
পর্যায়সারণি	90
পর্যাপ্তপরিমাণ	90
পর্যুদস্তঅবস্থা	90
পুনর্গঠনপ্রক্রিয়া	90
পুস্তকবিষয়ক	90
পূর্বনির্ধারিতভাবে	90
প্রকৃতপক্ষেই	90
প্রতিযোগিতামূলক	90
প্রতিফলনযোগ্য	90
প্রতিবিম্বিত	90
প্রত্যক্ষীকরণ	90
প্রত্যুত্তরদাতা	90
প্রদাহনাশক	90
প্রবাহনিয়ন্ত্রণ	90
প্রবেশসংকেত	90
প্রমাণীকরণ	90
প্রশিক্ষণার্থী	90
প্রশ্নোত্তরপর্ব	90
প্রশাসনতন্ত্র	90
প্রসারণযোগ্যতা	90
প্রস্তাবনাসমূহ	90
প্রাকৃতিকদুর্যোগ	90
প্রাণঘাতীসংক্রমণ	90
প্রাসঙ্গিকতাভিত্তিক	90
বক্তৃতাপ্রদান	90
বক্ষব্যথাজনিত	90
বহির্মুখীতাবাদ	90
বিচক্ষণতাপূর্ণ	90
বিজ্ঞাপনপ্রযুক্তি	90
বিদ্যুৎবিভ্রাট	90
বিনিময়যোগ্য	90
